feature_name,feature_description,is_geo_compliance_needed,reasoning,relevant_regulation
Curfew login blocker with ASL and GH for Utah minors,"To comply with the Utah Social Media Regulation Act, we are implementing a curfew-based login restriction for users under 18. The system uses ASL to detect minor accounts and routes enforcement through GH to apply only within Utah boundaries. The feature activates during restricted night hours and logs activity using EchoTrace for auditability. This allows parental control to be enacted without user-facing alerts, operating in ShadowMode during initial rollout.",True,"The feature is explicitly designed to comply with the Utah Social Media Regulation Act by restricting login times for underage users only within Utah, using geo-routing (GH) to enforce location-based rules. This is a geo-specific legal mandate requiring compliance logic tailored to Utah.",Utah Social Media Regulation Act
PF default toggle with NR enforcement for California teens,"As part of compliance with California’s SB976, the app will disable PF by default for users under 18 located in California. This default setting is considered NR to override, unless explicit parental opt-in is provided. Geo-detection is handled via GH, and rollout is monitored with FR logs. The design ensures minimal disruption while meeting the strict personalization requirements imposed by the law.",True,"The feature is implemented specifically to comply with California’s SB976 law by disabling personalized feeds for users under 18 located in California, with geo-detection via GH. This constitutes geo-specific compliance logic.",California state law
Child abuse content scanner using T5 and CDS triggers,"In line with the US federal law requiring providers to report child sexual abuse content to NCMEC, this feature scans uploads and flags suspected materials tagged as T5. Once flagged, the CDS auto-generates reports and routes them via secure channel APIs. The logic runs in real-time, supports human validation, and logs detection metadata for internal audits. Regional thresholds are governed by LCP parameters in the backend.",True,The feature is implemented to comply specifically with a US federal law requiring reporting of child sexual abuse content to NCMEC. The mention of regional thresholds governed by Local Compliance Policy (LCP) parameters indicates geo-specific compliance logic to adapt to regional legal requirements.,US law on reporting child sexual abuse content to NCMEC
Content visibility lock with NSP for EU DSA,"To meet the transparency expectations of the EU Digital Services Act, we are introducing a visibility lock for flagged user-generated content labeled under NSP. When such content is detected, a soft Softblock is applied and GH ensures enforcement is restricted to the EU region only. EchoTrace supports traceability, and Redline status can be triggered for legal review. This feature enhances accountability and complies with Article 16’s removal mechanisms.",True,"The feature is explicitly designed to comply with the EU Digital Services Act, implementing a visibility lock and softblock exclusively within the EU region enforced by a Geo-handler. This geo-specific enforcement and the reference to Article 16's removal mechanisms confirm it is required for geo-specific compliance.",EU Digital Services Act
Jellybean-based parental notifications for Florida regulation,"To support Florida's Online Protections for Minors law, this feature extends the Jellybean parental control framework. Notifications are dispatched to verified parent accounts when a minor attempts to access restricted features. Using IMT, the system checks behavioral anomalies against BB models. If violations are detected, restrictions are applied in ShadowMode with full audit logging through CDS. Glow flags ensure compliance visibility during rollout phases.",True,"The feature explicitly states it is implemented to support Florida's Online Protections for Minors law, indicating it is designed to comply with a specific legal mandate in a defined geographic region (Florida). The use of geo-specific compliance mechanisms such as Glow flags and CDS audit logging further confirms the geo-compliance requirement.",Florida state law
Unified retention control via DRT & CDS,"Introduce a data retention feature using DRT thresholds, ensuring automatic log deletion across all regions. CDS will continuously audit retention violations, triggering EchoTrace as necessary. Spanner logic ensures all platform modules comply uniformly.",False,"The feature implements data retention thresholds and auditing that apply uniformly across all regions, without indication that it adapts to or is driven by specific regulations in particular geographic areas. Therefore, it is a general compliance mechanism rather than geo-specific compliance logic.",N/A
NSP auto-flagging,"This feature will automatically detect and tag content that violates NSP policy. Once flagged, Softblock is applied and a Redline alert is generated if downstream sharing is attempted.",False,The feature enforces an internal Non-shareable policy (NSP) using Softblock and Redline alerts to prevent unauthorized content sharing. There is no indication that this is done to comply with a specific geographical law or regulation; it appears to be a general policy enforcement feature applicable globally.,N/A
T5 tagging for sensitive reports,"When users report content containing high-risk information, it is tagged as T5 for internal routing. CDS then enforces escalation. The system is universal and does not rely on regional toggles or GH routes.",False,"The feature description states that the system is universal and does not use regional toggles or geo-handler routes, indicating it is not designed to meet any specific regional legal mandate. It appears to be a global internal escalation process rather than a geo-specific compliance implementation.",N/A
Underage protection via Snowcap trigger,"Snowcap is activated for all underage users platform-wide, applying ASL to segment accounts. Actions taken under this logic are routed to CDS and monitored using BB to identify deviations in usage.",False,"The feature Snowcap applies age-sensitive logic platform-wide to all underage users without indication that it is being implemented to comply with a specific law or regulation in a particular region. The use of CDS and BB for monitoring does not imply geo-specific legal mandates, and there are no direct references to geographic legal requirements.",N/A
Universal PF deactivation on guest mode,"By default, PF will be turned off for all uses browsing in guest mode.",False,"The feature disables the personalized feed (PF) for all guest mode users globally without reference to a specific law, regulation, or geographic mandate. This appears to be a general product behavior decision rather than a geo-specific compliance measure.",N/A
Story resharing with content expiry,"Enable users to reshare stories from others, with auto-expiry after 48 hours. This feature logs resharing attempts with EchoTrace and stores activity under BB.",False,"The feature description does not reference compliance with any specific law or legal mandate in a particular region. It is a general product feature involving story resharing with a 48-hour expiry and logging for analytics, without mention of geo-specific restrictions or legal requirements.",N/A
Leaderboard system for weekly creators,Introduce a creator leaderboard updated weekly using internal analytics. Points and rankings are stored in FR metadata and tracked using IMT.,False,The feature is a creator leaderboard updated using internal analytics and tracked by internal monitoring. There is no indication that it is implemented to comply with any specific geographic law or regulation. It appears to be a business-driven feature rather than a geo-specific compliance requirement.,N/A
Mood-based PF enhancements,Adjust PF recommendations based on inferred mood signals from emoji usage. This logic is soft-tuned using BB and undergoes quiet testing in ShadowMode.,False,The feature adjusts personalized feed recommendations based on mood signals without any indication that it is implemented to comply with a specific law or legal mandate in any geographic region. The use of baseline behavior and ShadowMode for quiet testing suggests a business-driven developmental approach rather than geo-specific compliance.,N/A
New user rewards via NR profile suggestions,"At onboarding, users will receive NR-curated profiles to follow for faster network building. A/B testing will use Spanner.",False,"The feature description refers to business-driven A/B testing and curated profiles for onboarding, with no indication that it is implemented to comply with a specific geographic legal mandate or regulation.",N/A
Creator fund payout tracking in CDS,Monetization events will be tracked through CDS to detect anomalies in creator payouts. DRT rules apply for log trimming.,False,The feature describes tracking monetization events via CDS for anomaly detection and applying data retention thresholds (DRT) for log trimming. There is no indication that these actions are required by a specific law or regulation tied to a particular geographic region. The use of DRT appears to be a general data management practice rather than a response to a geo-specific legal mandate.,N/A
Trial run of video replies in EU,"Roll out video reply functionality to users in EEA only. GH will manage exposure control, and BB is used to baseline feedback.",False,"The feature is rolled out to the EEA only and uses GH for exposure control and BB for baseline feedback, but there is no indication it is required to comply with any specific EEA law or regulation. The roll out appears to be a regional market or user targeting decision rather than legal compliance.",N/A
Canada-first PF variant test,Launch a PF variant in CA as part of early experimentation. Spanner will isolate affected cohorts and Glow flags will monitor feature health.,False,"The feature is described as a personalized feed variant launched in California for early experimentation, isolated by Spanner, and monitored via Glow flags. There is no indication that this is to comply with a specific California law or any other regulation; rather, it appears to be a business-driven rollout for testing purposes.",N/A
Chat UI overhaul,"A new chat layout will be tested in the following regions: CA, US, BR, ID. GH will ensure location targeting and ShadowMode will collect usage metrics without user impact.",False,"The feature is a chat layout test in specific regions, using geo-handler (GH) for location targeting and ShadowMode for non-user-impact analytics. There is no indication that this implementation is to comply with any specific law, regulation, or legal mandate in those regions. It appears to be a business-driven decision (market testing) rather than compliance-driven.",N/A
Regional trial of autoplay behavior,"Enable video autoplay only for users in US. GH filters users, while Spanner logs click-through deltas.",False,"The feature enables video autoplay only for users in the US, with geo-routing and logging mechanisms. However, the description does not indicate this behavior is required to comply with any specific US law or regulation. It appears to be a region-based feature rollout or optimization rather than a legal requirement.",N/A
South Korea dark theme A/B experiment,A/B test dark theme accessibility for users in South Korea. Rollout is limited via GH and monitored with FR flags.,False,"The feature is an A/B test for dark theme accessibility limited to users in South Korea, which is a business-driven decision for rollout and monitoring, not to comply with a specific legal mandate or regulation.",N/A
